,src,race_date,race_course,race_number,race_id,race_class,race_distance,track_condition,race_name,track,sectional_time,incident_report,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6
1862,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",1,1.0,FLYING IN,K120,N Callan,K L Man,132,1082,3,-,5.0,6.0,5.0,5.0,2.20.19,8.6,2.0,1.0
1863,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",2,7.0,ENJOY THE GAME,S062,K Teetan,P F Yiu,123,1112,6,1/2,3.0,3.0,3.0,3.0,2.20.27,3.7,4.0,2.0
1864,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",3,4.0,MISTER MARC,P316,D Whyte,Y S Tsui,131,1114,1,3/4,2.0,2.0,2.0,2.0,2.20.31,5.9,1.0,3.0
1865,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",4,6.0,SMART GUY,M377,J Moreira,L Ho,127,937,4,1,6.0,5.0,6.0,6.0,2.20.36,3,5.0,4.0
1866,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",5,2.0,LIBERAL OF MIND,P122,M Demuro,Y S Tsui,132,972,2,2,4.0,4.0,4.0,4.0,2.20.50,20,6.0,5.0
1867,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",6,5.0,SWEET BEAN,S205,G Mosse,C Fownes,129,990,7,5-3/4,7.0,8.0,7.0,7.0,2.21.10,14,8.0,6.0
1868,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",7,8.0,GOLD FORTUNE,N257,K C Leung,P O'Sullivan,116,1042,5,7-3/4,8.0,7.0,8.0,8.0,2.21.44,6.6,7.0,7.0
1869,20141112-1.html,2014-11-12,Happy Valley,1,2014-150,Class 5,2200,GOOD,HEUNG YIP HANDICAP,"TURF - ""A"" COURSE",14.25 23.31 25.83 27.09 25.66 24.05,"
                ENJOY THE GAME began awkwardly, shifted in and bumped GOLD FORTUNE which in turn shifted in and made contact with SMART GUY which was awkwardly placed outside the heels of FLYING IN.
SWEET BEAN was shifted across behind runners in the early stages.
Passing the 2100 Metres, GOLD FORTUNE was steadied away from the heels of FLYING IN which was taken out by MISTER MARC.  GOLD FORTUNE was then awkwardly placed close to the heels of FLYING IN for a short distance after this when proving difficult to settle.
LITTLE RAINFOREST proved difficult to settle in the early and middle stages and in the Straight gave ground.  After the race, the Veterinary Officer reported that LITTLE RAINFOREST had bled from both nostrils.
Passing the 700 Metres, FLYING IN and LIBERAL OF MIND made contact on a number of occasions as LIBERAL OF MIND attempted to shift out from behind ENJOY THE GAME as FLYING IN improved to the outside of LIBERAL OF MIND.
Making the turn after the 600 Metres, LIBERAL OF MIND got its head on the side and shifted out.  SWEET BEAN, which was following, was inconvenienced in consequence.
For some distance after the 500 Metres, SMART GUY was held up behind LITTLE RAINFOREST which was giving ground.  SMART GUY then had difficulty obtaining clear running in the early part of the Straight.
Near the 450 Metres, ENJOY THE GAME and FLYING IN bumped.  This resulted in ENJOY THE GAME shifting in, causing SMART GUY to race tight inside that horse.
Passing the 400 Metres, GOLD FORTUNE was steadied away from the heels of SMART GUY.
Over the concluding stages, LIBERAL OF MIND was steadied away from the heels of ENJOY THE GAME which was awkwardly placed outside FLYING IN which shifted out.
Close to the finishing line, SMART GUY became unbalanced after jumping a shadow on the track.
SMART GUY, FLYING IN and ENJOY THE GAME were sent for sampling.
",8,3.0,LITTLE RAINFOREST,N101,C Y Ho,K L Man,129,1002,8,22,1.0,1.0,1.0,1.0,2.23.71,16,3.0,8.0
2636,20141203-7.html,2014-12-03,Happy Valley,7,2014-211,Class 3,2200,GOOD,ROSELLE HANDICAP,"TURF - ""C+3"" COURSE",14.16 23.17 26.00 26.33 24.25 23.33,"
                AMBITIOUS CHAMPION was crowded for room on jumping between AMBASSADORSHIP and RIDE WITH THE WIND which shifted out.
From the outside barriers, BEST SHOW and AGIAAL were shifted across behind runners in the early stages.
Approaching the 1800 Metres, REDWOOD BABY was steadied away from the heels of CRAZY BUDDIES which was racing tight inside SUPREME FRESH.
Near the 1600 Metres, AMBASSADORSHIP was left racing wide and without cover and after this was allowed to stride forward into a more forward position.
Passing the 900 Metres, REDWOOD BABY was steadied away from the heels of CRAZY BUDDIES.
Also passing the 900 Metres, SUPREME FRESH became very awkward after shifting out abruptly when proving difficult to settle and being checked away from the heels of RIDE WITH THE WIND.
After the 900 Metres, AGIAAL was left racing wide and without cover.
Making the turn after the 600 Metres, THE SYLPH got its head on the side and was awkwardly placed after shifting out towards the heels of AMBASSADORSHIP.
For some distance after the 500 Metres, HORSE APLENTY was awkwardly placed close to the heels of THE SYLPH.
Rounding the Home Turn, CRAZY BUDDIES was awkwardly placed close to the heels of RIDE WITH THE WIND.
After the 300 Metres, HORSE APLENTY raced tight inside THE SYLPH which shifted in when giving ground.
Passing the 150 Metres, REDWOOD BABY was shifted out away from the heels of AMBASSADORSHIP.
In the Straight, SUPREME FRESH hung in and proved difficult to ride.
After the race, C Y Ho stated that, in his opinion, the performance of RIDE WITH THE WIND could be attributed to the circumstances of the race which he believed did not suit the horse.  A veterinary inspection of RIDE WITH THE WIND immediately following the race did not show any significant findings, however, the horse was unable to be scoped due to being fractious.
REDWOOD BABY, BEST SHOW and AMBITIOUS CHAMPION were sent for sampling.
",1,5.0,BEST SHOW,N438,U Rispoli,C Fownes,125,1095,11,-,11.0,11.0,11.0,1.0,2.17.24,19,1.0,1.0
2637,20141203-7.html,2014-12-03,Happy Valley,7,2014-211,Class 3,2200,GOOD,ROSELLE HANDICAP,"TURF - ""C+3"" COURSE",14.16 23.17 26.00 26.33 24.25 23.33,"
                AMBITIOUS CHAMPION was crowded for room on jumping between AMBASSADORSHIP and RIDE WITH THE WIND which shifted out.
From the outside barriers, BEST SHOW and AGIAAL were shifted across behind runners in the early stages.
Approaching the 1800 Metres, REDWOOD BABY was steadied away from the heels of CRAZY BUDDIES which was racing tight inside SUPREME FRESH.
Near the 1600 Metres, AMBASSADORSHIP was left racing wide and without cover and after this was allowed to stride forward into a more forward position.
Passing the 900 Metres, REDWOOD BABY was steadied away from the heels of CRAZY BUDDIES.
Also passing the 900 Metres, SUPREME FRESH became very awkward after shifting out abruptly when proving difficult to settle and being checked away from the heels of RIDE WITH THE WIND.
After the 900 Metres, AGIAAL was left racing wide and without cover.
Making the turn after the 600 Metres, THE SYLPH got its head on the side and was awkwardly placed after shifting out towards the heels of AMBASSADORSHIP.
For some distance after the 500 Metres, HORSE APLENTY was awkwardly placed close to the heels of THE SYLPH.
Rounding the Home Turn, CRAZY BUDDIES was awkwardly placed close to the heels of RIDE WITH THE WIND.
After the 300 Metres, HORSE APLENTY raced tight inside THE SYLPH which shifted in when giving ground.
Passing the 150 Metres, REDWOOD BABY was shifted out away from the heels of AMBASSADORSHIP.
In the Straight, SUPREME FRESH hung in and proved difficult to ride.
After the race, C Y Ho stated that, in his opinion, the performance of RIDE WITH THE WIND could be attributed to the circumstances of the race which he believed did not suit the horse.  A veterinary inspection of RIDE WITH THE WIND immediately following the race did not show any significant findings, however, the horse was unable to be scoped due to being fractious.
REDWOOD BABY, BEST SHOW and AMBITIOUS CHAMPION were sent for sampling.
",2,4.0,AMBITIOUS CHAMPION,S083,M Demuro,A T Millard,125,1084,6,SH,10.0,10.0,10.0,3.0,2.17.25,8.6,2.0,2.0
